"index"	"budget"	"keywords"	"original_language"	"title"	"popularity"	"release_date"	"revenue"	"runtime"	"vote_average"	"vote_count"	"genre"	"release_year"	"release_month"	"release_day"	"first_actor"	"first_actor_gender"	"director_first_name"	"director_gender"
2816	1.5e+07	"dolphin mascot private detective pets"	"en"	"Ace Ventura: Pet Detective"	41.249004	1994-02-04	107217396	86	6.4	1648	"Comedy"	1994	2	4	"Jim Carrey"	"male"	"Tom"	"male"
3664	0	"photographer surgeon orchestra doctor car accident"	"en"	"Christmas Eve"	1.985243	2015-12-04	0	95	6.1	24	"Comedy"	2015	12	4	"Patrick Stewart"	"male"	"Mitch"	"male"
3709	2e+06	"independent film speed freak junky cop boy toy porn magazine"	"en"	"Spun"	6.249262	2002-06-01	0	101	6.6	132	"Drama"	2002	6	1	"Jason Schwartzman"	"male"	"Jonas"	"male"
2446	16500000	"neighbor child killed by animal writing class makeup artist bee sting"	"en"	"My Girl"	20.935169	1991-11-27	0	102	7	428	"Drama"	1991	11	27	"Anna Chlumsky"	"female"	"Howard"	"male"
317	9.4e+07	"forced prostitution child rape"	"zh"	"The Flowers of War"	12.516546	2011-12-15	95311434	145	7.1	187	"Drama"	2011	12	15	"Christian Bale"	"male"	"Zhang"	NA
912	6e+07	"paris san francisco vampire plantation pity"	"en"	"Interview with the Vampire"	50.163785	1994-11-11	223664608	123	7.2	1516	"Romance"	1994	11	11	"Brad Pitt"	"male"	"Neil"	"male"
4584	0	NA	"en"	"Love in the Time of Monsters"	0.133619	2014-03-08	0	0	5	2	"Comedy"	2014	3	8	"Kane Hodder"	"male"	"Matt"	"male"
55	1.85e+08	"scotland rebel bravery kingdom archer"	"en"	"Brave"	125.114374	2012-06-21	538983207	93	6.7	4641	"Comedy"	2012	6	21	"Kelly Macdonald"	"female"	"Brenda"	"female"
905	5e+07	"nurse hospital doctor laughter"	"en"	"Patch Adams"	35.537397	1998-12-25	202292902	115	7	832	"Drama"	1998	12	25	"Robin Williams"	"female"	"Tom"	"male"
3008	1e+07	"fbi drug crime violence drug private detective"	"en"	"A Low Down Dirty Shame"	3.290639	1994-11-23	29392418	100	6	31	"Comedy"	1994	11	23	"Keenen Ivory"	"male"	"Keenen"	"male"
2713	0	"friendship war road trip independent film soldier"	"en"	"The Lucky Ones"	8.747922	2008-09-26	0	113	6.3	55	"Drama"	2008	9	26	"Tim Robbins"	"male"	"Neil"	"male"
906	5e+07	"journalism mustache tv news newsroom gang warfare"	"en"	"Anchorman 2: The Legend Continues"	38.125008	2013-12-18	173649015	119	6	923	"Comedy"	2013	12	18	"Will Ferrell"	"male"	"Adam"	"male"
4358	0	"independent film"	"en"	"Next Stop Wonderland"	1.334481	1998-08-21	0	96	6	20	"Drama"	1998	8	21	"Hope Davis"	"female"	"Brad"	"male"
3848	3500000	"coming out covert operation lesbian female protagonist in the closet"	"en"	"D.E.B.S."	6.396936	2004-01-21	0	91	5.6	90	"Action"	2004	1	21	"Sara Foster"	"female"	"Angela"	"female"
2592	2.5e+07	"loss of lover antiquary loss of powers death of a friend immortality"	"en"	"Highlander: Endgame"	11.782725	2000-09-01	15843608	87	4.4	104	"Action"	2000	9	1	"Christopher Lambert"	"male"	"Douglas"	"male"
4624	0	"terror anthology suspense"	"en"	"Locker 13"	1.905197	2014-03-29	0	90	6.8	3	"Drama"	2014	3	29	"Ricky Schroder"	"male"	"Jason"	"male"
4642	0	"post traumatic stress  disorder photographer loss of lover professor trauma"	"en"	"November"	5.742359	2004-07-22	0	73	4.9	11	"Drama"	2004	7	22	"Courteney Cox"	"female"	"Greg"	"male"
1388	3.5e+07	"wife husband relationship children family relationships duringcreditsstinger"	"en"	"This Is 40"	38.429648	2012-12-20	88058786	134	5.6	896	"Comedy"	2012	12	20	"Paul Rudd"	"male"	"Judd"	"male"
482	8e+07	"memory sidewalk cafe room key driving a car coastline"	"en"	"Nine"	9.357734	2009-12-03	53825515	112	5.1	165	"Drama"	2009	12	3	"Judi Dench"	"female"	"Rob"	"male"
1648	1.7e+07	"sunrise vampire suspicion remake suburbia"	"en"	"Fright Night"	18.27083	2011-08-18	24922237	106	6	603	"Comedy"	2011	8	18	"Anton Yelchin"	"male"	"Craig"	"male"
353	9.2e+07	"film making satire jungle movie star southeast asia"	"en"	"Tropic Thunder"	43.192048	2008-08-09	188072649	107	6.5	1667	"Comedy"	2008	8	9	"Ben Stiller"	"male"	"Ben"	"male"
4236	0	"independent film"	"en"	"Mooz-lum"	0.414754	2011-02-11	330048	95	4.5	3	"Drama"	2011	2	11	"Nia Long"	"female"	"Qasim"	"male"
4249	0	"haunted house father-in-law superstition house arrest basement"	"en"	"Housebound"	10.322858	2014-09-04	0	109	6.5	358	"Comedy"	2014	9	4	"Morgana O'Reilly"	"female"	"Gerard"	"male"
2575	1.5e+07	"new mexico mutant assault survival"	"en"	"The Hills Have Eyes 2"	17.141376	2007-03-22	0	89	5.2	351	"Thriller"	2007	3	22	"Michael Bailey"	"male"	"Martin"	"male"
3967	3	NA	"en"	"Four Single Fathers"	0.008263	2009-01-15	0	100	0	0	"Drama"	2009	1	15	"Alessandro Gassman"	"male"	"Paolo"	"male"
849	5.5e+07	"corruption mother nudity minister power"	"en"	"Changeling"	27.50916	2008-01-30	113020255	141	7.3	1131	"Drama"	2008	1	30	"Angelina Jolie"	"female"	"Clint"	"male"
4485	7e+05	"date ex-girlfriend bicycle crack independent film"	"en"	"Half Nelson"	12.378031	2006-08-11	4911725	107	6.5	240	"Drama"	2006	8	11	"Ryan Gosling"	"male"	"Ryan"	"male"
3386	0	"servant time travel clumsy fellow middle ages nobility"	"fr"	"The Visitors"	8.893676	1993-01-27	0	107	7.1	420	"Comedy"	1993	1	27	"Jean Reno"	"female"	"Jean-Marie"	NA
1365	3.8e+07	"loss of father father murder texas ranger alcoholism betrayal"	"en"	"True Grit"	49.292384	2010-12-22	252276927	110	7.2	1668	"Drama"	2010	12	22	"Jeff Bridges"	"male"	"Joel"	"male"
779	3e+07	"based on novel water remake teacher divorce"	"en"	"Dark Water"	14.376463	2005-06-27	25473093	105	5.3	274	"Drama"	2005	6	27	"Jennifer Connelly"	"female"	"Walter"	"male"
4060	0	"woman director"	"en"	"There's Always Woodstock"	2.025701	2014-11-14	0	90	5.4	12	"Comedy"	2014	11	14	"Allison Miller"	"female"	"Rita"	"female"
3149	12899867	"child abuse rape fire sexual abuse madrid"	"es"	"Volver"	19.747809	2006-03-16	85582407	121	7.3	406	"Drama"	2006	3	16	"Pen\u00e9lope Cruz"	NA	"Pedro"	"male"
348	9e+07	"ice age bridge insanity jungle dinosaur"	"en"	"Ice Age: Dawn of the Dinosaurs"	69.457898	2009-06-29	886686817	94	6.5	2271	"Comedy"	2009	6	29	"Ray Romano"	"male"	"Carlos"	"male"
340	9.8e+07	"exotic island treasure map ship scalp"	"en"	"Cutthroat Island"	7.029308	1995-12-22	10017322	119	5.7	136	"Action"	1995	12	22	"Geena Davis"	"female"	"Renny"	"male"
4167	0	"judge juggler passion reality street artist"	"en"	"Man on Wire"	14.331992	2008-07-25	2957978	94	7.5	275	"Thriller"	2008	7	25	"Philippe Petit"	"male"	"James"	"male"
3546	0	"independent film ventriloquist dummy multiple storylines sabbath brain scan"	"en"	"The Ten"	3.865122	2007-08-03	0	96	4.9	57	"Comedy"	2007	8	3	"Paul Rudd"	"male"	"David"	"male"
4023	0	"farewell responsability dying and death night shift daughter"	"en"	"My Life Without Me"	7.958831	2003-03-07	9726954	106	7.2	77	"Drama"	2003	3	7	"Sarah Polley"	"female"	"Isabel"	"female"
1521	3.2e+07	"dance musical furry talking animal anthropomorphism"	"en"	"Cats Don't Dance"	4.098444	1997-03-26	3566637	75	7.1	24	"Comedy"	1997	3	26	"Scott Bakula"	"male"	"Mark"	"male"
128	1.5e+08	"rome vatican based on novel symbolism christian"	"en"	"Angels & Demons"	67.447636	2009-05-13	356613439	138	6.5	2129	"Thriller"	2009	5	13	"Tom Hanks"	"male"	"Ron"	"male"
1224	4.7e+07	"premonition death by accident crash end is here duringcreditsstinger"	"en"	"Final Destination 5"	38.555482	2011-08-12	157887643	92	5.9	866	"Horror"	2011	8	12	"Emma Bell"	"female"	"Steven"	"male"
56	1.85e+08	"sequel stranded hatred space opera"	"en"	"Star Trek Beyond"	65.352913	2016-07-07	343471816	122	6.6	2568	"Action"	2016	7	7	"Chris Pine"	"male"	"Justin"	"male"
3074	1e+07	"prison release from prison suitcase record producer investigation"	"en"	"The Limey"	8.902102	1999-05-15	3193102	89	6.6	105	"Drama"	1999	5	15	"Terence Stamp"	"male"	"Steven"	"male"
1129	3.2e+07	"based on novel small town dream motel hallucination"	"en"	"The Mothman Prophecies"	14.733513	2002-01-25	55157539	119	6.1	305	"Drama"	2002	1	25	"Richard Gere"	"male"	"Mark"	"male"
4447	0	"relationship problems male female relationship divorce best friends in love"	"en"	"Celeste & Jesse Forever"	9.436431	2012-08-03	3094813	91	6.4	163	"Drama"	2012	8	3	"Rashida Jones"	"female"	"Lee"	"male"
26	2.5e+08	"civil war war marvel comic sequel superhero"	"en"	"Captain America: Civil War"	198.372395	2016-04-27	1153304495	147	7.1	7241	"Action"	2016	4	27	"Chris Evans"	"male"	"Anthony"	"male"
4230	1500000	"paris prostitute robbery drug abuse aids"	"en"	"Killing Zoe"	5.817519	1993-10-01	418961	96	6.1	111	"Drama"	1993	10	1	"Eric Stoltz"	"male"	"Roger"	"male"
4647	250000	"sex adultery jealousy nudity seduction"	"en"	"The Canyons"	6.978907	2013-07-29	56825	99	4.1	75	"Drama"	2013	7	29	"Lindsay Lohan"	"female"	"Paul"	"male"
4379	0	"independent film eyes molecular biologist"	"en"	"I Origins"	37.555398	2014-07-18	336472	106	7.5	1063	"Drama"	2014	7	18	"Michael Pitt"	"male"	"Mike"	"male"
504	7.5e+07	"pet bunny anthropomorphism dog animal"	"en"	"The Secret Life of Pets"	31.482872	2016-06-18	875958308	87	5.9	3462	"Family"	2016	6	18	"Louis C.K."	"male"	"Chris"	"male"
2152	2e+07	"deja vu regret jealousy amnesia dream"	"en"	"Eternal Sunshine of the Spotless Mind"	56.481487	2004-03-19	72258126	108	7.9	3652	"Drama"	2004	3	19	"Jim Carrey"	"male"	"Michel"	"male"
2930	1.1e+07	"woman director"	"en"	"The Secret Life of Bees"	7.645979	2008-09-17	38105395	114	7.4	158	"Adventure"	2008	9	17	"Dakota Fanning"	"male"	"Gina"	"female"
2181	1.9e+07	"dancing brother brother relationship sexual obsession showdown sheriff"	"en"	"From Dusk Till Dawn"	64.181668	1996-01-19	25836616	108	6.9	1603	"Thriller"	1996	1	19	"George Clooney"	"male"	"Robert"	"male"
2950	1.1e+07	"immigration independent film woman director political prisoner cuban refugees"	"en"	"The Perez Family"	1.187671	1995-05-12	2832826	113	6.6	9	"Drama"	1995	5	12	"Marisa Tomei"	"female"	"Mira"	"female"
3208	0	"war space opera clone troopers"	"en"	"Star Wars: Clone Wars: Volume 1"	1.881466	2005-03-21	0	69	8	27	"Action"	2005	3	21	"Tom Kane"	"male"	"Genndy"	NA
986	49900000	"kidnapping traitor virgin prince princess"	"en"	"Your Highness"	21.408222	2011-04-08	26121638	102	5.2	501	"Comedy"	2011	4	8	"Danny McBride"	"male"	"David"	"male"
443	8e+07	"wishes come true escapade disorder imaginary miraculous event"	"en"	"Bedtime Stories"	23.531721	2008-12-24	212874442	99	5.9	901	"Comedy"	2008	12	24	"Adam Sandler"	"male"	"Adam"	"male"
392	8.5e+07	"cia violence safe house rogue agent cape town south africa"	"en"	"Safe House"	34.773106	2012-02-09	208076205	115	6.3	1345	"Thriller"	2012	2	9	"Denzel Washington"	"male"	"Daniel"	"male"
135	1.5e+08	"father son relationship victorian england remake rural setting werewolf"	"en"	"The Wolfman"	21.214571	2010-02-11	0	102	5.5	549	"Drama"	2010	2	11	"Benicio del"	"male"	"Joe"	"male"
1926	1.4e+07	NA	"en"	"The Possession"	21.680424	2012-08-30	85446075	92	5.8	498	"Thriller"	2012	8	30	"Jeffrey Dean"	"male"	"Ole"	"male"
1225	0	"new york marriage proposal fbi mafia boss mafia"	"en"	"Mickey Blue Eyes"	6.786117	1999-08-16	0	102	5.3	140	"Comedy"	1999	8	16	"Hugh Grant"	"male"	"Kelly"	"female"
2811	12516654	"mouse musician friendship prejudice bear"	"fr"	"Ernest & Celestine"	11.103202	2012-12-12	8109160	78	7.6	142	"Drama"	2012	12	12	"Anne-Marie Loop"	NA	"St\u00e9phane"	NA
3864	3e+06	"strip club alzheimer sex addiction"	"en"	"Choke"	11.637458	2008-09-26	3830137	92	6	127	"Drama"	2008	9	26	"Sam Rockwell"	"male"	"Clark"	"male"
4396	0	"affection woman director"	"en"	"16 to Life"	0.108468	2009-09-19	0	118	4.4	5	"Comedy"	2009	9	19	"Hallee Hirsh"	"female"	"Becky"	"female"
2488	1.6e+07	"blindness and impaired vision creative crisis film director"	"en"	"Hollywood Ending"	8.711782	2002-05-03	0	112	6.4	113	"Drama"	2002	5	3	"Woody Allen"	"male"	"Woody"	"male"
2311	18500000	NA	"en"	"The Invention of Lying"	16.665841	2009-09-13	31912793	100	6	518	"Comedy"	2009	9	13	"Ricky Gervais"	"male"	"Ricky"	"male"
2874	1.2e+07	"eroticism suspense woman director"	"en"	"In the Cut"	10.536092	2003-09-09	23	119	4.6	89	"Thriller"	2003	9	9	"Meg Ryan"	"female"	"Jane"	"female"
1460	3.5e+07	"italian new love provence horse exile"	"en"	"The Horseman on the Roof"	2.877488	1995-09-20	1.5e+07	135	6.7	25	"Drama"	1995	9	20	"Juliette Binoche"	"female"	"Jean-Paul"	NA
2903	1200000	"undercover insane asylum reporter"	"en"	"10 Days in a Madhouse"	0.489271	2015-11-20	0	111	4.3	5	"Drama"	2015	11	20	"Caroline Barry"	"female"	"Timothy"	"male"
3039	6400000	"based on novel biography historical figure marilyn monroe"	"en"	"My Week with Marilyn"	21.006078	2011-10-17	35057696	99	6.6	406	"Drama"	2011	10	17	"Michelle Williams"	"female"	"Simon"	"male"
2695	1.1e+07	NA	"en"	"I Think I Love My Wife"	4.536745	2007-03-16	13196245	90	5	55	"Comedy"	2007	3	16	"Chris Rock"	"male"	"Chris"	"male"
2239	2e+07	"loss of husband reincarnation friends little boy independent film"	"en"	"Birth"	7.698075	2004-09-08	0	100	5.9	179	"Drama"	2004	9	8	"Nicole Kidman"	"female"	"Jonathan"	"male"
2051	0	"london england sex dying and death poet theatre milieu"	"en"	"The Libertine"	7.588597	2004-09-16	0	114	5.9	128	"Drama"	2004	9	16	"Johnny Depp"	"male"	"Laurence"	"male"
3692	4600000	"mother sex adultery nudity scandal"	"en"	"Savage Grace"	3.531877	2007-05-18	0	97	5.7	60	"Drama"	2007	5	18	"Julianne Moore"	"female"	"Tom"	"male"
2020	2e+07	"father son relationship baseball sports team sport life's dream"	"en"	"The Rookie"	11.263361	2002-03-25	75597042	127	6.5	110	"Drama"	2002	3	25	"Dennis Quaid"	"male"	"John"	"male"
243	1.1e+08	"museum skeleton night shift chaos genghis khan"	"en"	"Night at the Museum"	48.780039	2006-10-20	574480841	108	6.3	2862	"Comedy"	2006	10	20	"Ben Stiller"	"male"	"Shawn"	"male"
3017	0	"mobbing success violence against women revenge serial killer"	"en"	"Valentine"	5.904126	2001-02-01	0	96	5	114	"Thriller"	2001	2	1	"Denise Richards"	"female"	"Jamie"	"female"
1434	3.5e+07	"professional thief jewel robbery"	"en"	"Parker"	28.670477	2013-01-23	46216641	118	5.7	1455	"Action"	2013	1	23	"Jason Statham"	"male"	"Taylor"	"female"
2652	0	"sex legend countess"	"en"	"Bathory: Countess of Blood"	2.500218	2008-07-04	0	141	5.6	31	"Drama"	2008	7	4	"Anna Friel"	"female"	"Juraj"	NA
3000	1e+07	"sequel"	"en"	"Insidious: Chapter 3"	45.946524	2015-06-04	104303851	97	6.2	983	"Drama"	2015	6	4	"Dermot Mulroney"	"male"	"Leigh"	"female"
1347	3.6e+07	"repayment arbitrary law cop loss of wife"	"en"	"A Man Apart"	19.854932	2003-04-04	44350926	109	5.8	258	"Drama"	2003	4	4	"Vin Diesel"	"male"	"F."	NA
473	7e+07	"saving the world total destruction white house mars usa president"	"en"	"Mars Attacks!"	44.090535	1996-12-12	101371017	106	6.1	1509	"Comedy"	1996	12	12	"Jack Nicholson"	"male"	"Tim"	"male"
1283	3e+07	"suicide new york corruption journalist inventor"	"en"	"The Hudsucker Proxy"	14.188982	1994-03-11	0	111	7.1	275	"Drama"	1994	3	11	"Tim Robbins"	"male"	"Joel"	"male"
3284	8e+06	NA	"en"	"Brooklyn Rules"	4.090382	2007-04-30	458232	99	5.8	18	"Drama"	2007	4	30	"Alec Baldwin"	"male"	"Michael"	"male"
1991	1.9e+07	"miami detective handcuffs airport mexican standoff"	"en"	"Bad Boys"	33.872182	1995-04-07	141407024	118	6.5	1699	"Comedy"	1995	4	7	"Will Smith"	"male"	"Michael"	"male"
2166	2e+07	"adultery winter obsession television new hampshire"	"en"	"To Die For"	12.309715	1995-05-20	21284514	106	6.7	175	"Drama"	1995	5	20	"Nicole Kidman"	"female"	"Gus"	"male"
977	7e+07	"cold war friendship giant robot sitting on a toilet fear of unknown"	"en"	"The Iron Giant"	61.245957	1999-08-06	23159305	86	7.6	1436	"Adventure"	1999	8	6	"Eli Marienthal"	"male"	"Brad"	"male"
2279	2e+07	"classroom teacher school workplace humor"	"en"	"Bad Teacher"	28.497242	2011-05-16	216197492	92	5.4	1584	"Comedy"	2011	5	16	"Cameron Diaz"	"male"	"Jake"	"male"
2840	0	"comedian interview reporter movie star fianc\u00e9 fianc\u00e9e relationship"	"en"	"Top Five"	15.896312	2014-12-12	25434291	102	6.3	210	"Drama"	2014	12	12	"Chris Rock"	"male"	"Chris"	"male"
2229	1.2e+07	"mexico white house nuclear missile machete outer space"	"en"	"Machete Kills"	29.072964	2013-09-12	15008161	107	5.3	631	"Thriller"	2013	9	12	"Danny Trejo"	"male"	"Robert"	"male"
4353	5e+06	"chile gore jungle extreme violence cannibal"	"en"	"The Green Inferno"	17.845161	2014-09-04	6833445	100	5	349	"Thriller"	2014	9	4	"Lorenza Izzo"	"male"	"Eli"	"male"
325	9.5e+07	"blue footed booby prehistoric times melting ice badger elephant seal"	"en"	"Ice Age: Continental Drift"	65.229868	2012-06-26	877244782	88	6.2	2672	"Comedy"	2012	6	26	"John Leguizamo"	"male"	"Steve"	"male"
177	1.35e+08	"underdog car race dream speed power"	"en"	"Turbo"	44.765377	2013-07-11	282570682	96	6.1	1074	"Family"	2013	7	11	"Ryan Reynolds"	"male"	"David"	"male"
230	1.2e+08	"senate investigation army death star jedi"	"en"	"Star Wars: Episode II - Attack of the Clones"	43.987061	2002-05-15	649398328	142	6.4	3992	"Action"	2002	5	15	"Ewan McGregor"	"male"	"George"	"male"
4131	0	"survival execution stranger no memory"	"en"	"Circle"	6.752141	2015-10-02	0	87	6	333	"Fiction"	2015	10	2	"Julie Benz"	"female"	"Aaron"	"male"
2813	1.2e+07	"advice love relationship ensemble cast duringcreditsstinger"	"en"	"Think Like a Man"	6.035152	2012-04-16	96070507	122	6.9	281	"Comedy"	2012	4	16	"Michael Ealy"	"male"	"Tim"	"male"
1632	3e+07	"evidence passport argument county jail fingerprints"	"en"	"The Next Three Days"	34.421696	2010-11-18	51148651	133	6.9	905	"Drama"	2010	11	18	"Russell Crowe"	"male"	"Paul"	"male"
2977	1e+07	"brain tumor nudity suffocation mutilation severed foot"	"en"	"Saw III"	33.124871	2006-10-27	163876815	108	6.1	1071	"Thriller"	2006	10	27	"Tobin Bell"	"male"	"Darren"	"male"
2987	1e+07	"sports team sport ice hockey hockey game winning"	"en"	"The Mighty Ducks"	8.932837	1992-10-01	50752337	101	6.4	198	"Comedy"	1992	10	1	"Emilio Estevez"	"male"	"Stephen"	"male"
1782	1.5e+07	"crime fighter cook drug dealer dying and death kindergarten"	"en"	"Kindergarten Cop"	5.411154	1990-12-21	201957688	111	5.8	628	"Comedy"	1990	12	21	"Arnold Schwarzenegger"	"male"	"Ivan"	"male"
354	9e+07	"rape journalist based on novel journalism hacker"	"en"	"The Girl with the Dragon Tattoo"	47.651083	2011-12-14	232617430	158	7.2	2434	"Drama"	2011	12	14	"Daniel Craig"	"male"	"David"	"male"
4268	1350000	"ambush alcohol shotgun tea joint"	"en"	"Lock, Stock and Two Smoking Barrels"	16.032594	1998-03-05	3897569	105	7.5	1648	"Comedy"	1998	3	5	"Jason Flemyng"	"male"	"Guy"	"male"
1143	6.5e+07	"poetry knight tournament duel torture"	"en"	"A Knight's Tale"	36.670399	2001-05-11	117487473	132	6.6	907	"Drama"	2001	5	11	"Heath Ledger"	"male"	"Brian"	"male"
2998	1e+07	"claustrophobia trapped in an elevator"	"en"	"Devil"	30.934688	2010-01-13	33583175	80	5.8	816	"Thriller"	2010	1	13	"Chris Messina"	"male"	"John"	"male"
3548	0	"death of lover art thief art gallery police investigation"	"en"	"Headhunters"	20.821846	2011-08-04	15699707	100	7.1	399	"Thriller"	2011	8	4	"Aksel Hennie"	"male"	"Morten"	"male"
959	5e+07	"fight inuit petrol company alaska"	"en"	"On Deadly Ground"	9.114168	1994-02-18	4.9e+07	102	4.5	104	"Thriller"	1994	2	18	"Steven Seagal"	"male"	"Steven"	"male"
2076	2.1e+07	"suicide male nudity female nudity fire nudity"	"en"	"The Rage: Carrie 2"	4.781538	1999-03-11	17762705	104	5.1	76	"Thriller"	1999	3	11	"Emily Bergl"	"female"	"Katt"	NA
1856	3.5e+07	"sister sister relationship safari wildlife baboon chimpanzee"	"en"	"The Wild Thornberrys Movie"	5.784661	2002-12-20	0	85	5.8	44	"Adventure"	2002	12	20	"Lacey Chabert"	"female"	"Cathy"	"female"
4691	0	"independent film"	"en"	"Yesterday Was a Lie"	0.145014	2008-01-01	0	89	6	4	"Drama"	2008	1	1	"Chase Masterson"	"male"	"James"	"male"
3004	1e+07	"angel wisconsin church service church aftercreditsstinger"	"en"	"Dogma"	14.543435	1999-11-12	30652890	130	6.8	823	"Comedy"	1999	11	12	"Ben Affleck"	"male"	"Kevin"	"male"
4087	0	"biography independent film v.a. hospital junk sale jellybean"	"en"	"American Splendor"	7.792851	2003-08-15	6003587	101	7.1	120	"Drama"	2003	8	15	"Paul Giamatti"	"male"	"Shari"	"female"
4292	3e+06	"alcohol radio police chief highway cops"	"en"	"Super Troopers"	16.312803	2001-01-18	18492362	100	6.6	362	"Comedy"	2001	1	18	"Jay Chandrasekhar"	"male"	"Jay"	"male"
4654	250000	"supernatural father daughter relationship incubus"	"en"	"Ink"	5.217002	2009-01-23	0	106	6.4	101	"Action"	2009	1	23	"Chris Kelly"	"male"	"Jamin"	"male"
4022	2500000	"friendship robot senior citizen cat thief"	"en"	"Robot & Frank"	23.419061	2012-08-16	3325038	85	6.8	450	"Drama"	2012	8	16	"Frank Langella"	"male"	"Jake"	"male"
3317	7500000	"sport"	"en"	"Men with Brooms"	1.369528	2002-09-20	4245870	102	4.5	7	"Comedy"	2002	9	20	"Paul Gross"	"male"	"Paul"	"male"
4254	0	"winter mutant post-apocalyptic dystopia meteor"	"en"	"Mutant World"	1.893697	2014-09-27	1500000	85	2.6	9	"Fiction"	2014	9	27	"Kim Coates"	"female"	"David"	"male"
2112	2e+07	"alcohol bar party divorce family"	"en"	"Bad Moms"	42.512296	2016-07-28	183936074	100	6.3	1252	"Comedy"	2016	7	28	"Mila Kunis"	"female"	"Jon"	"male"
4143	0	NA	"en"	"Rockaway"	0.361554	2007-07-07	0	76	5.8	2	"Drama"	2007	7	7	"Nicholas Gonzalez"	"male"	"Jeff"	"male"
1397	0	"church choir hiding place garbage duringcreditsstinger"	"en"	"The Ladykillers"	23.666229	2004-03-25	0	104	6	415	"Comedy"	2004	3	25	"Tom Hanks"	"male"	"Joel"	"male"
3225	8e+06	NA	"en"	"Limbo"	0.034259	1999-06-04	1997807	126	7	17	"Drama"	1999	6	4	"Mary Elizabeth"	"female"	"John"	"male"
2793	1.3e+07	"sheriff crime fighter"	"en"	"The Killer Inside Me"	11.892615	2010-02-19	0	109	6	173	"Drama"	2010	2	19	"Casey Affleck"	"male"	"Michael"	"male"
1091	4.4e+07	"usa president presidential election watergate scandal biography government"	"en"	"Nixon"	3.770161	1995-12-22	13681765	192	7.1	71	"Drama"	1995	12	22	"Anthony Hopkins"	"male"	"Oliver"	"male"
4464	8e+05	"norway undead zombie wintry"	"no"	"Dead Snow"	11.205726	2009-01-09	1984662	91	6.1	311	"Comedy"	2009	1	9	"Charlotte Frogner"	"female"	"Tommy"	"male"
83	2.7e+07	NA	"en"	"The Lovers"	2.418535	2015-02-13	0	109	4.8	34	"Action"	2015	2	13	"Josh Hartnett"	"male"	"Roland"	"male"
